12,1,1058,719,443,361,1,1,1
13,1,1049,849,564,232,1,1,1
14,1,1052,850,441,229,1,1,1
15,1,861,756,385,325,1,1,1
16,1,670,746,346,325,1,1,1
17,1,454,762,350,319,1,1,1
18,1,270,809,493,272,1,1,1
19,1,241,819,497,255,1,1,1
20,1,400,800,321,268,1,1,1
21,1,361,667,396,375,1,1,1
22,1,483,539,330,431,1,1,1
23,1,464,484,392,465,1,1,1
24,1,355,695,349,339,1,1,1
25,1,334,693,370,365,1,1,1
26,1,353,836,293,239,1,1,1
27,1,362,823,310,254,1,1,1
28,1,240,604,432,437,1,1,1
29,1,379,499,437,446,1,1,1
30,1,354,576,468,334,1,1,1
31,1,230,526,459,384,1,1,1
32,1,183,509,446,373,1,1,1
33,1,170,516,459,396,1,1,1
34,1,232,783,440,272,1,1,1
35,1,161,939,395,142,1,1,1
36,1,9,939,288,142,1,1,1
37,1,6,875,161,149,1,1,1
16,2,1146,834,462,235,1,1,1
17,2,1015,813,441,254,1,1,1
18,2,820,843,505,226,1,1,1
19,2,908,689,398,380,1,1,1
20,2,694,828,405,243,1,1,1
21,2,800,826,371,243,1,1,1
22,2,823,824,330,243,1,1,1
23,2,983,593,388,463,1,1,1
24,2,1011,734,384,346,1,1,1
25,2,981,863,414,217,1,1,1
26,2,866,864,279,217,1,1,1
27,2,806,864,356,217,1,1,1
28,2,752,718,414,363,1,1,1
29,2,756,844,294,237,1,1,1
30,2,752,936,262,145,1,1,1
31,2,711,588,380,493,1,1,1
32,2,651,474,380,530,1,1,1
33,2,619,557,374,447,1,1,1
34,2,679,606,374,453,1,1,1
35,2,540,629,374,445,1,1,1
36,2,540,821,374,253,1,1,1
37,2,367,828,494,253,1,1,1
38,2,367,828,432,253,1,1,1
39,2,367,685,379,396,1,1,1
40,2,333,685,413,362,1,1,1
41,2,314,601,413,433,1,1,1
42,2,312,650,571,348,1,1,1
43,2,222,526,567,386,1,1,1
44,2,295,654,503,275,1,1,1
45,2,184,471,561,445,1,1,1
46,2,150,449,574,467,1,1,1
47,2,158,539,587,405,1,1,1
48,2,60,492,521,536,1,1,1
49,2,1,463,549,514,1,1,1
50,2,64,652,466,429,1,1,1
32,3,1126,926,422,150,1,1,1
33,3,1088,838,407,238,1,1,1
34,3,1064,838,431,238,1,1,1
35,3,1064,776,343,300,1,1,1
36,3,1040,894,317,180,1,1,1
37,3,1008,894,306,180,1,1,1
38,3,897,894,342,180,1,1,1
39,3,989,888,393,193,1,1,1
40,3,1030,792,521,289,1,1,1
41,3,1056,760,529,321,1,1,1
42,3,1030,760,521,321,1,1,1
43,3,1054,777,497,304,1,1,1
44,3,968,777,497,304,1,1,1
45,3,915,854,426,227,1,1,1
46,3,868,873,345,208,1,1,1
47,3,744,839,424,242,1,1,1
48,3,693,839,445,242,1,1,1
49,3,907,664,505,360,1,1,1
50,3,901,732,505,330,1,1,1
51,3,843,724,456,349,1,1,1
